DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201226384,12/14/2020 12:00:00 AM,12/14/2020 12:00:00 AM,1430,12,77th Street,1209,1,210,ROBBERY,0916 1822 0342 0216 0312 0302 0355 0421 0330 0354,31,F,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,4900 S  FIGUEROA                     ST,,33.9988,-118.2827
160217358,09/18/2016 12:00:00 AM,09/18/2016 12:00:00 AM,2145,02,Rampart,0212,1,210,ROBBERY,0330 0334 0418 1300 0916 0355 0344 0906 1402,61,M,H,101,STREET,113,SIMULATED GUN,AA,Adult Arrest,210,910,998,,VERMONT                      AV,CLINTON,34.0818,-118.2917
211819200,10/29/2021 12:00:00 AM,10/29/2021 12:00:00 AM,0055,18,Southeast,1837,1,210,ROBBERY,1822 1310 0342 0302 0448 0916 0216 0344 1402,28,F,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,1600 E  115TH                        ST,,33.9303,-118.2463
212012299,07/30/2021 12:00:00 AM,07/30/2021 12:00:00 AM,1915,20,Olympic,2002,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 0916,0,X,X,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,WESTERN,BEVERLY,34.0763,-118.3092
201500510,01/06/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1805,15,N Hollywood,1524,1,220,ATTEMPTED ROBBERY,0906 1414 1822 0400 1259 1310 1302 0916 2002 1402,14,M,H,108,PARKING LOT,511,VERBAL THREAT,AA,Adult Arrest,220,998,,,12100    VICTORY                      BL,,34.1867,-118.3965
211818860,10/22/2021 12:00:00 AM,10/22/2021 12:00:00 AM,0345,18,Southeast,1821,1,210,ROBBERY,0330 0302 0334 0355 0354 0209 1822 1100 0916,28,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,510,,,BARING CROSS,95TH                         ST,33.9501,-118.2893
211812025,06/15/2021 12:00:00 AM,06/15/2021 12:00:00 AM,0812,18,Southeast,1846,1,210,ROBBERY,0202 1822 0421 0432 1300 1310 0354 0916 1311 1402,53,M,H,101,STREET,511,VERBAL THREAT,IC,Invest Cont,210,,,,IMPERIAL,CENTRAL,33.9295,-118.2542
211707353,04/11/2021 12:00:00 AM,04/11/2021 12:00:00 AM,0130,17,Devonshire,1799,1,210,ROBBERY,1251 0202 0330 1822 0916 0344 1501,28,F,O,101,STREET,307,VEHICLE,IC,Invest Cont,210,,,,15800    COMMUNITY                    ST,,34.223,-118.4771
212104527,01/17/2021 12:00:00 AM,01/17/2021 12:00:00 AM,1610,21,Topanga,2148,1,210,ROBBERY,1822 0916 1420 0429 0344,37,M,H,104,DRIVEWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,20100    GAULT                        ST,,34.1992,-118.5716
201214449,06/10/2020 12:00:00 AM,06/10/2020 12:00:00 AM,1430,12,77th Street,1232,1,220,ATTEMPTED ROBBERY,0916 1822 2024 0906 0371 1310 0342 1402 1409 1419,49,M,B,101,STREET,102,HAND GUN,JA,Juv Arrest,220,998,,,SLAUSON                      AV,CRENSHAW                     BL,33.989,-118.3308
160619273,09/04/2016 12:00:00 AM,09/03/2016 12:00:00 AM,1756,06,Hollywood,0668,1,220,ATTEMPTED ROBBERY,1402 0344 0916 1300 0906,36,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,220,520,998,,SANTA MONICA,SAINT ANDREWS,34.0908,-118.3114
201212934,05/17/2020 12:00:00 AM,05/15/2020 12:00:00 AM,1900,12,77th Street,1267,1,210,ROBBERY,0330 1822 0302 0202 1218 0916,35,M,H,108,PARKING LOT,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,MANCHESTER,FIGUEROA,33.9601,-118.2827
211807929,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,1600,18,Southeast,1832,1,210,ROBBERY,0906 1822 0400 1300 0416 0417 0446 0342 0916 0330,20,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,108TH                        ST,BROADWAY,33.9383,-118.2784
201416381,08/30/2020 12:00:00 AM,08/30/2020 12:00:00 AM,2205,14,Pacific,1414,1,210,ROBBERY,0916 1822 1310 1311 1402 2004,28,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,510,998,,200    LINCOLN                      BL,,34.0017,-118.4686
201416025,08/25/2020 12:00:00 AM,08/24/2020 12:00:00 AM,2050,14,Pacific,1407,1,210,ROBBERY,0355 0916 0334 0432 0344 0353 0387 1822,29,M,A,102,SIDEWALK,513,STUN GUN,AA,Adult Arrest,210,521,,,3600    HUGHES                       AV,,34.0252,-118.4041
211806873,02/27/2021 12:00:00 AM,02/27/2021 12:00:00 AM,0300,18,Southeast,1823,1,210,ROBBERY,0416 0429 0342 0916 0344,32,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,200 E  102ND                        ST,,33.9438,-118.2717
211806318,02/17/2021 12:00:00 AM,02/17/2021 12:00:00 AM,0315,18,Southeast,1842,1,210,ROBBERY,1822 1300 0916 0337 0416 0444 0344,40,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,11300 S  FIGUEROA                     ST,,33.9316,-118.2826
211713380,10/05/2021 12:00:00 AM,10/05/2021 12:00:00 AM,1020,17,Devonshire,1751,1,210,ROBBERY,0916 0344 1202 1310 1822 0330 0312 1402,62,M,O,102,SIDEWALK,107,OTHER FIREARM,IC,Invest Cont,210,761,998,,9900    NEVADA                       AV,,34.2502,-118.6094
211809813,05/02/2021 12:00:00 AM,05/02/2021 12:00:00 AM,0325,18,Southeast,1881,1,210,ROBBERY,0449 0330 1822 1300 1310 0429 0417 0416 0302 0916,35,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,800 W  REDONDO BEACH                BL,,33.8926,-118.289
201506939,02/28/2020 12:00:00 AM,02/28/2020 12:00:00 AM,2130,15,N Hollywood,1569,1,210,ROBBERY,0449 1278 0916 1822 1310 0334 0216 0330 0344 1302,33,M,W,101,STREET,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,AA,Adult Arrest,210,521,,,4100 E  CAHUENGA                     BL,,34.1437,-118.3614
160412123,07/07/2016 12:00:00 AM,07/07/2016 12:00:00 AM,0300,04,Hollenbeck,0449,1,210,ROBBERY,0916 0418 1022 0449 0330,31,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,910,,,1000 N  SOTO                         ST,,34.053,-118.2038
201224024,11/06/2020 12:00:00 AM,11/03/2020 12:00:00 AM,1600,12,77th Street,1245,1,210,ROBBERY,0344 0449 1822 1402 0342 1310 0916,42,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,FLORENCE                     AV,VERMONT                      AV,33.9746,-118.2916
201227282,12/29/2020 12:00:00 AM,12/29/2020 12:00:00 AM,0840,12,77th Street,1209,1,210,ROBBERY,0916 0216 0444 0305 0344 0330 1822,61,M,H,104,DRIVEWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,400 W  47TH                         PL,,34.0001,-118.2827
201306298,02/10/2020 12:00:00 AM,02/10/2020 12:00:00 AM,2020,13,Newton,1347,1,210,ROBBERY,1822 1313 1309 0916 0330 0342 0446 0417 2024,19,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,41ST                         ST,COMPTON                      AV,34.0086,-118.2474
201214765,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,0120,12,77th Street,1245,1,210,ROBBERY,0906 0916 1822 0342 1302,51,M,H,101,STREET,102,HAND GUN,JO,Juv Other,210,,,,70TH                         ST,VERMONT                      AV,33.9763,-118.2917
160210121,05/02/2016 12:00:00 AM,05/02/2016 12:00:00 AM,1515,02,Rampart,0299,1,210,ROBBERY,0916 1310 0355 0330 0443,20,M,H,101,STREET,113,SIMULATED GUN,IC,Invest Cont,210,,,,1300    VALENCIA                     ST,,34.0437,-118.2748
201207099,02/13/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2105,12,77th Street,1251,1,210,ROBBERY,1822 0916 0400 0444,41,M,H,101,STREET,207,OTHER KNIFE,IC,Invest Cont,210,,,,FLORENCE,CRENSHAW,33.9745,-118.3309
201217636,08/02/2020 12:00:00 AM,08/02/2020 12:00:00 AM,2045,12,77th Street,1239,1,210,ROBBERY,0906 1822 0302 0371 0342 0916,27,M,B,101,STREET,102,HAND GUN,JA,Juv Arrest,210,,,,FIGUEROA,62ND,33.9833,-118.2827
201227077,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1910,12,77th Street,1268,1,210,ROBBERY,0344 0330 0302 0355 1402 0916,63,M,B,108,PARKING LOT,102,HAND GUN,AA,Adult Arrest,210,,,,100 W  MANCHESTER                   AV,,33.964,-118.2739
212016676,11/07/2021 12:00:00 AM,11/07/2021 12:00:00 AM,0130,20,Olympic,2049,1,210,ROBBERY,1402 1409 1822 2004 0355 0344 0916 0330 0432 0906,30,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,998,,,2700    FRANCIS                      AV,,34.0568,-118.2868
211908018,04/25/2021 12:00:00 AM,04/25/2021 12:00:00 AM,2230,19,Mission,1905,1,210,ROBBERY,0906 0330 0916 1822 0444 0429 0354 0369,57,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,13900    FOOTHILL                     BL,,34.3155,-118.4343
160504170,01/05/2016 12:00:00 AM,01/05/2016 12:00:00 AM,1500,05,Harbor,0566,1,210,ROBBERY,0302 0334 0416 1402 0916 1300,46,M,H,101,STREET,104,SHOTGUN,JA,Juv Arrest,210,998,,,200 W  11TH                         ST,,33.7342,-118.2814
201112825,08/24/2020 12:00:00 AM,08/23/2020 12:00:00 AM,1813,11,Northeast,1124,1,220,ATTEMPTED ROBBERY,0906 0355 1822 0432 0443 0334 0916 0302 0330,27,M,W,101,STREET,107,OTHER FIREARM,AA,Adult Arrest,220,,,,SAN FERNANDO                 RD,DELAY                        DR,34.1179,-118.2451
160125675,10/20/2016 12:00:00 AM,10/19/2016 12:00:00 AM,1920,01,Central,0158,1,210,ROBBERY,0330 0916 0913 1814 0400,24,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,INDUSTRIAL,CENTRAL,34.0374,-118.2406
160214342,07/23/2016 12:00:00 AM,07/23/2016 12:00:00 AM,1420,02,Rampart,0215,1,210,ROBBERY,0906 2004 0916 1310 0386 0344 0319 1817,29,F,B,101,STREET,512,MACE/PEPPER SPRAY,AA,Adult Arrest,210,,,,JOHN                         ST,HOOVER                       ST,34.0772,-118.2844
201215732,07/02/2020 12:00:00 AM,07/01/2020 12:00:00 AM,2100,12,77th Street,1257,1,210,ROBBERY,0344 0330 0916,27,M,H,101,STREET,311,HAMMER,IC,Invest Cont,210,,,,76TH                         ST,GRAND                        AV,33.9708,-118.2803
201217101,07/25/2020 12:00:00 AM,07/25/2020 12:00:00 AM,0030,12,77th Street,1248,1,210,ROBBERY,0916 1310 1822 0302 1311 0330 0354 0344,27,M,O,101,STREET,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,210,,,,FIGUEROA,69TH,33.9792,-118.2893
211913170,09/12/2021 12:00:00 AM,09/11/2021 12:00:00 AM,1930,19,Mission,1934,1,210,ROBBERY,0330 0916 1310 1402 0906 1822 2001,32,M,H,108,PARKING LOT,205,KITCHEN KNIFE,AA,Adult Arrest,210,998,,,11100 N  SEPULVEDA                    BL,,34.2747,-118.4696
211809399,04/22/2021 12:00:00 AM,04/22/2021 12:00:00 AM,1930,18,Southeast,1861,1,210,ROBBERY,0916 0330 1822 0400 0344 0342 1311 0417 0448,39,M,H,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,126TH                        ST,FIGUEROA                     ST,33.9274,-118.2871
201206758,02/09/2020 12:00:00 AM,02/09/2020 12:00:00 AM,0600,12,77th Street,1259,1,210,ROBBERY,1402 1822 0344 1300 0432 0355 0448 0916,30,M,H,101,STREET,102,HAND GUN,AO,Adult Other,210,998,,,75TH                         ST,AVALON                       BL,33.9721,-118.2652
160507223,03/15/2016 12:00:00 AM,03/15/2016 12:00:00 AM,0430,05,Harbor,0515,1,210,ROBBERY,0302 0330 0334 0355 0916 1309 0449 0312 1008,45,M,H,108,PARKING LOT,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,800 W  PACIFIC COAST                HY,,33.7948,-118.2694
201219416,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1940,12,77th Street,1269,1,210,ROBBERY,1100 1822 0916 0302 0355 0371 0443 0450 0342 1309,18,M,H,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,210,,,,E  80TH                         ST,S  SAN PEDRO                    ST,33.9665,-118.2695
201216970,07/23/2020 12:00:00 AM,07/23/2020 12:00:00 AM,0515,12,77th Street,1233,1,210,ROBBERY,1822 0342 0416 0344 0908 2023 0916,33,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,1800 W  60TH                         ST,,33.9852,-118.3095
160612376,05/14/2016 12:00:00 AM,05/13/2016 12:00:00 AM,2035,06,Hollywood,0667,1,220,ATTEMPTED ROBBERY,0344 0916 1300,52,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,220,520,,,SANTA MONICA,BRONSON,34.0908,-118.3179
201510749,06/01/2020 12:00:00 AM,05/30/2020 12:00:00 AM,0150,15,N Hollywood,1585,1,210,ROBBERY,0344 0916 0449 0354 0330 1310 1302 0400 0352 1822,30,F,O,108,PARKING LOT,513,STUN GUN,IC,Invest Cont,210,,,,10900    BLUFFSIDE                    DR,,34.1414,-118.3686
201009760,06/07/2020 12:00:00 AM,06/07/2020 12:00:00 AM,0110,10,West Valley,1029,1,210,ROBBERY,1822 0302 0330 1310 0355 0359 1309 0448 1311 0916,21,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,15700    SHERMAN                      WY,,34.2012,-118.4749
201112021,07/30/2020 12:00:00 AM,07/30/2020 12:00:00 AM,0850,11,Northeast,1178,1,210,ROBBERY,1402 1407 1419 0400 1100 1310 0906 1822 2004 0916,60,F,H,101,STREET,103,RIFLE,IC,Invest Cont,210,998,,,AMABEL,ARROYO SECO,34.0922,-118.2226
201224195,11/09/2020 12:00:00 AM,11/09/2020 12:00:00 AM,1630,12,77th Street,1232,1,210,ROBBERY,0916 1278 1240 0312 0355 0344 0330 0302 1822 0202,30,M,H,108,PARKING LOT,102,HAND GUN,IC,Invest Cont,210,,,,5800    CRENSHAW                     BL,,33.9886,-118.3307
160316170,07/01/2016 12:00:00 AM,07/01/2016 12:00:00 AM,2100,03,Southwest,0399,2,624,BATTERY - SIMPLE ASSAULT,0416 0916,17,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,400 W  42ND                         ST,,34.0074,-118.2813
211704586,01/17/2021 12:00:00 AM,01/17/2021 12:00:00 AM,0030,17,Devonshire,1797,1,210,ROBBERY,1402 0916 0344 1822 0400 1206 0416 1311 0330,40,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,998,,,WOODLEY                      AV,NORDHOFF                     ST,34.2356,-118.4851
160308055,03/03/2016 12:00:00 AM,03/03/2016 12:00:00 AM,1050,03,Southwest,0351,1,210,ROBBERY,1202 0354 0330 0334 0312 0355 1309 0342 0916 1402,66,M,B,101,STREET,102,HAND GUN,AA,Adult Arrest,210,998,,,FARMDALE                     AV,RODEO                        RD,34.0215,-118.346
201507636,03/16/2020 12:00:00 AM,03/16/2020 12:00:00 AM,0001,15,N Hollywood,1527,1,220,ATTEMPTED ROBBERY,1302 1402 0430 0906 1100 1822 0400 0916 1310 0371,23,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,220,998,,,VINELAND,VICTORY,34.1867,-118.3703
201219260,08/25/2020 12:00:00 AM,08/25/2020 12:00:00 AM,1400,12,77th Street,1269,1,210,ROBBERY,0916 0906 0371 1309 0355 0312 0334 1302 0344 0330,30,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,8200 S  SAN PEDRO                    ST,,33.9645,-118.2695
160418276,12/03/2016 12:00:00 AM,12/02/2016 12:00:00 AM,1300,04,Hollenbeck,0449,1,210,ROBBERY,0342 0906 0330 0400 0334 0913 0448 0344 0916,28,M,H,108,PARKING LOT,312,PIPE/METAL PIPE,AO,Adult Other,210,,,,2500    WABASH                       AV,,34.0527,-118.1969
201308287,03/17/2020 12:00:00 AM,03/17/2020 12:00:00 AM,0930,13,Newton,1333,1,210,ROBBERY,0344 0302 0432 1309 0916 0330 0355 1822 0342,45,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,GRIFFITH                     AV,29TH                         ST,34.0181,-118.2592
160214988,08/04/2016 12:00:00 AM,08/04/2016 12:00:00 AM,0420,02,Rampart,0219,1,210,ROBBERY,0400 2004 1231 0444 1302 0916 1402 0907,59,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,510,998,,SUNSET,CUSTER,34.0652,-118.2492
201016032,12/13/2020 12:00:00 AM,12/13/2020 12:00:00 AM,1400,10,West Valley,1023,1,210,ROBBERY,1240 0916 1302 1310 0446 1817 0913 0334 0400 0416,19,M,H,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,AO,Adult Other,210,998,,,KITTRIDGE                    ST,ETIWANDA                     AV,34.1944,-118.5486
201218021,08/07/2020 12:00:00 AM,08/03/2020 12:00:00 AM,2300,12,77th Street,1245,1,210,ROBBERY,0444 1822 0354 0344 0329 0916,13,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,71ST                         ST,VERMONT                      AV,33.9755,-118.2917
160327410,12/16/2016 12:00:00 AM,12/16/2016 12:00:00 AM,1750,03,Southwest,0374,1,210,ROBBERY,1402 1409 1816 0906 0342 0344 0416 1202 0330 0916,70,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,210,998,,,3800    6TH                          AV,,34.0173,-118.3241
160309271,03/23/2016 12:00:00 AM,03/22/2016 12:00:00 AM,2330,03,Southwest,0356,1,210,ROBBERY,0916 0344 1310 0330 1302 1306 1311 0342 0302 0416,53,F,H,101,STREET,102,HAND GUN,JA,Juv Arrest,210,,,,1400 W  37TH                         ST,,34.021,-118.3002
160327287,12/14/2016 12:00:00 AM,12/05/2016 12:00:00 AM,1430,03,Southwest,0337,2,624,BATTERY - SIMPLE ASSAULT,0342 0416 0916 0431 0913,57,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3000    HALLDALE                     AV,,34.0273,-118.3028
201219647,08/29/2020 12:00:00 AM,08/29/2020 12:00:00 AM,1913,12,77th Street,1249,1,220,ATTEMPTED ROBBERY,1300 1309 0400 0916,18,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,GAGE,FIGUEROA,33.9824,-118.2827
211705191,02/02/2021 12:00:00 AM,02/01/2021 12:00:00 AM,1930,17,Devonshire,1762,1,210,ROBBERY,0344 0916 1822 0330 1402,32,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,20700    MARILLA                      ST,,34.2481,-118.5842
211711770,08/22/2021 12:00:00 AM,08/22/2021 12:00:00 AM,0001,17,Devonshire,1761,1,510,VEHICLE - STOLEN,0400 0916 2004 1311 0330 1822 0448 0305 0344,56,M,H,301,GAS STATION,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,510,,,,9100    TOPANGACANYO                 BL,,34.2448,-118.6134
